SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00242 S3_D0 msp7 msp7-1 16378 2 1 0.0305775912445554 0.0295363706153373
A00289 S3_D0 msp7 msp7-1 19204 3 1 0.0344713695925328 0.0295363706153373
A00222 S3_DX msp7 msp7-1 3866 1 1 0.0078425644739538 0.0139720208376599
A00269 S3_DX msp7 msp7-1 8562 2 1 0.0159851835532961 0.0139720208376599
A00316 S3_DX msp7 msp7-1 10077 3 1 0.0180883144857297 0.0139720208376599
A00196 S4_D0 msp7 msp7-8 585 1 4 0.00118673052696921 0.00154693449723023
A00196 S4_D0 msp7 msp7-2 695 1 4 0.00140987643802325 0.00165423103206877
A00196 S4_D0 msp7 msp7-7 1857 1 4 0.00376710869843047 0.00483704020119216
A00196 S4_D0 msp7 msp7-6 4551 1 4 0.00923215492006305 0.0114886793493854
A00243 S4_D0 msp7 msp7-8 1029 2 4 0.00192113453356011 0.00154693449723023
A00243 S4_D0 msp7 msp7-2 1129 2 4 0.00210783371077684 0.00165423103206877
A00243 S4_D0 msp7 msp7-7 3254 2 4 0.00607519122663226 0.00483704020119216
A00243 S4_D0 msp7 msp7-6 7875 2 4 0.0147025602058172 0.0114886793493854
A00290 S4_D0 msp7 msp7-2 805 3 4 0.00144498294740621 0.00165423103206877
A00290 S4_D0 msp7 msp7-8 854 3 4 0.00153293843116137 0.00154693449723023
A00290 S4_D0 msp7 msp7-7 2601 3 4 0.00466882067851373 0.00483704020119216
A00290 S4_D0 msp7 msp7-6 5867 3 4 0.0105313229222761 0.0114886793493854
A00223 S4_DX msp7 msp7-6 2148 1 2 0.00435743106312798 0.00647614260179093
A00223 S4_DX msp7 msp7-2 2478 1 2 0.0050268687962901 0.00737819240495369
A00270 S4_DX msp7 msp7-6 2495 2 2 0.00465814447155731 0.00647614260179093
A00270 S4_DX msp7 msp7-2 3010 2 2 0.00561964523422345 0.00737819240495369
A00317 S4_DX msp7 msp7-6 5801 3 2 0.0104128522706875 0.00647614260179093
A00317 S4_DX msp7 msp7-2 6400 3 2 0.0114880631843475 0.00737819240495369
A00197 S5_D0 msp7 msp7-14 5709 1 1 0.0115812727837047 0.0249773343674253
A00244 S5_D0 msp7 msp7-14 17523 2 1 0.0327152968236869 0.0249773343674253
A00291 S5_D0 msp7 msp7-14 17067 3 1 0.0306354334948842 0.0249773343674253
A00224 S5_DX msp7 msp7-14 3677 1 1 0.00745915922677913 0.0160060222387415
